id,label,categoryName,parent_id,degree,depth
1334134_4232946_2885751,Arts Crafts & Sewing>Fabric>Shop Fabric by Brand,Shop Fabric by Brand,1334134_4232946,0.0,3
1334134_4232946_3436920,Arts, Crafts & Sewing>Fabric>Shop Fabric By Color,Shop Fabric By Color,1334134_4232946,0.0,3
1334134_4232946_5038673,Arts, Crafts & Sewing>Fabric>Shop Fabric by Material,Shop Fabric by Material,1334134_4232946,0.0,3
1334134_4232946_8857834,Arts Crafts & Sewing>Fabric>Shop Fabric by Pattern,Shop Fabric by Pattern,1334134_4232946,0.0,3
1334134_4232946_4801237,Arts, Crafts & Sewing>Fabric>Shop Fabric by Size,Shop Fabric by Size,1334134_4232946,0.0,3
1334134_4232946_3934882,Arts Crafts & Sewing>Fabric>Shop Fabric by Usage,Shop Fabric by Usage,1334134_4232946,0.0,3
1334134_6528012,Arts, Crafts & Sewing>Fairfield,Fairfield,1334134,0.0,2
1334134_4880989,Arts, Crafts & Sewing>Knitting & Crochet,Knitting & Crochet,1334134,8.0,2
1334134_4880989_7912327,Arts, Crafts & Sewing>Knitting & Crochet>Crochet Hooks,Crochet Hooks,1334134_4880989,0.0,3
1334134_4880989_7926808,Arts, Crafts & Sewing>Knitting & Crochet>Crochet Kits,Crochet Kits,1334134_4880989,0.0,3
1334134_4880989_2338162,Arts, Crafts & Sewing>Knitting & Crochet>Crochet Thread,Crochet Thread,1334134_4880989,0.0,3
1334134_4880989_9414803,Arts Crafts & Sewing>Knitting & Crochet>Knitting and Crochet Kits,Knitting and Crochet Kits,1334134_4880989,0.0,3
1334134_4880989_1555046,Arts Crafts & Sewing>Knitting & Crochet>Knitting Kits,Knitting Kits,1334134_4880989,0.0,3
1334134_4880989_6727372,Arts, Crafts & Sewing>Knitting & Crochet>Knitting Looms & Boards,Knitting Looms & Boards,1334134_4880989,0.0,3
1334134_4880989_9407238,Arts, Crafts & Sewing>Knitting & Crochet>Knitting Needles,Knitting Needles,1334134_4880989,0.0,3
1334134_4880989_3031053,Arts Crafts & Sewing>Knitting & Crochet>Knitting Tools and Supplies,Knitting Tools and Supplies,1334134_4880989,0.0,3
1334134_3059470,Arts, Crafts & Sewing>LaurDIY,LaurDIY,1334134,1.0,2
1334134_3059470_2618174,Arts, Crafts & Sewing>LaurDIY>LaurDIY Beads,LaurDIY Beads,1334134_3059470,0.0,3
1334134_9186420,Arts, Crafts & Sewing>Lion Brand,Lion Brand,1334134,1.0,2
1334134_9186420_4187035,Arts Crafts & Sewing>Lion Brand>All Lion Brand,All Lion Brand,1334134_9186420,0.0,3
1334134_3540724,Arts, Crafts & Sewing>Pellon,Pellon,1334134,0.0,2
1334134_7616708,Arts, Crafts & Sewing>Red Heart Yarn,Red Heart Yarn,1334134,1.0,2
1334134_7616708_4597651,Arts, Crafts & Sewing>Red Heart Yarn>Red Heart,Red Heart,1334134_7616708,0.0,3
1334134_8495017,Arts, Crafts & Sewing>Scrapbooking,Scrapbooking,1334134,11.0,2
1334134_8495017_9187189,Arts, Crafts & Sewing>Scrapbooking>Craft Cutting Tools,Craft Cutting Tools,1334134_8495017,0.0,3
1334134_8495017_7459663,Arts, Crafts & Sewing>Scrapbooking>Embossing,Embossing,1334134_8495017,0.0,3
1334134_8495017_2611013,Arts, Crafts & Sewing>Scrapbooking>Photo Albums & Refills,Photo Albums & Refills,1334134_8495017,0.0,3
1334134_8495017_8541719,Arts Crafts & Sewing>Scrapbooking>Photo Mounting Corners & Paper Edgers,Photo Mounting Corners & Paper Edgers,1334134_8495017,0.0,3
1334134_8495017_5361764,Arts, Crafts & Sewing>Scrapbooking>Picture Framing,Picture Framing,1334134_8495017,0.0,3
1334134_8495017_7538540,Arts Crafts & Sewing>Scrapbooking>Quilling,Quilling,1334134_8495017,0.0,3
1334134_8495017_8268489,Arts, Crafts & Sewing>Scrapbooking>Scrapbooking Embellishments,Scrapbooking Embellishments,1334134_8495017,0.0,3
1334134_8495017_8505615,Arts, Crafts & Sewing>Scrapbooking>Scrapbooking Kits,Scrapbooking Kits,1334134_8495017,0.0,3
1334134_8495017_1021746,Arts, Crafts & Sewing>Scrapbooking>Stamping,Stamping,1334134_8495017,0.0,3
1334134_8495017_3605084,Arts, Crafts & Sewing>Scrapbooking>Stencils & Templates,Stencils & Templates,1334134_8495017,0.0,3
